, ,,,,Distance moved,Velocity,Freezing,Freezing,Cruising,Cruising,Bursting,Bursting,Turn angle,Angular velocity,Meander,Meander
,,,,,CenterNApoint,CenterNApoint,Free Interval based on Velocity,Free Interval based on Velocity,Free Interval based on Velocity,Free Interval based on Velocity,Free Interval based on Velocity,Free Interval based on Velocity,CenterNApoint / absolute,CenterNApoint / absolute,CenterNApoint / absolute,CenterNApoint / absolute
,,,,,Total,Mean,Frequency,Cumulative Duration,Frequency,Cumulative Duration,Frequency,Cumulative Duration,Mean,Mean,Mean,Total
,,,,,mm,mm/s,,s,,s,,s,deg,deg/s,deg/mm,deg/mm
C1,DMT 0.1,Trial     4,G8,0:00:00-0:30:00,2228.34,1.33149,789,666.16,933,42.8,181,9.52,110.262,2756.56,6101.77,254413000
C1,DMT 0.1,Trial     4,H2,0:00:00-0:30:00,3172.41,1.79989,1441,1627.56,2047,98.92,367,21.8,100.596,2514.89,6094.84,267521000
C1,DMT 0.1,Trial     4,H8,0:00:00-0:30:00,1599.25,0.889123,97,1789.68,131,7.04,38,2.6,117.798,2944.96,6663.92,298717000
C1,DMT 0.3,Trial     4,A3,0:00:00-0:30:00,1554.82,1.19209,392,1218.04,525,28.52,162,10.48,111.319,2782.97,7155.07,232261000
C1,DMT 0.3,Trial     4,A9,0:00:00-0:30:00,1412.88,0.785472,206,1706.88,263,11.52,52,2.68,117.089,2927.22,7560.84,336858000
C1,DMT 0.3,Trial     4,B3,0:00:00-0:30:00,1352.64,0.752536,6,1682.92,8,0.52,6,0.4,119.145,2978.62,7235.2,324050000
C1,DMT 0.3,Trial     4,B9,0:00:00-0:30:00,2768.63,1.53974,843,1474.48,1089,54.84,308,18.2,109.969,2749.22,5963.23,266372000
C1,DMT 0.3,Trial     4,C3,0:00:00-0:30:00,1590.7,0.942824,323,1251.68,446,27.16,111,8.64,114.73,2868.26,7659.45,320816000
C1,DMT 0.3,Trial     4,C9,0:00:00-0:30:00,1971.48,1.89996,798,964.36,1023,49.72,265,14.52,103.801,2595.03,5388.45,139491000
C1,DMT 0.3,Trial     4,D3,0:00:00-0:30:00,1676.27,1.05718,115,1168.72,161,8.36,33,2.6,118.428,2960.7,5821.7,228129000
C1,DMT 0.3,Trial     4,D9,0:00:00-0:30:00,1463.51,0.855135,97,1645,130,6.4,47,2.6,117.094,2927.35,6769.29,288697000
C1,DMT 0.3,Trial     4,E3,0:00:00-0:30:00,3265.22,1.81995,1247,1311.48,1585,77.2,477,26.28,104.763,2619.08,5792.11,258635000
C1,DMT 0.3,Trial     4,E9,0:00:00-0:30:00,2845.39,1.81005,843,1000.28,1038,55.16,413,23.96,109.376,2734.4,5584.34,219174000
C1,DMT 0.3,Trial     4,F3,0:00:00-0:30:00,1435.7,1.28201,499,1751.8,614,33.88,117,7.2,113.319,2832.98,6817.79,187585000
C1,DMT 0.3,Trial     4,F9,0:00:00-0:30:00,2006.63,1.11556,369,1765.28,470,23.16,120,7.12,113.744,2843.61,6268.56,281521000
C1,DMT 0.3,Trial     4,G3,0:00:00-0:30:00,759.963,1.41131,235,962,302,14.28,78,4.44,111.794,2794.84,5719.83,76308200
C1,DMT 0.3,Trial     4,G9,0:00:00-0:30:00,4085,2.27101,1922,1482.4,2367,115.44,573,30.6,100.692,2517.3,4852.93,217756000
C1,DMT 0.3,Trial     4,H3,0:00:00-0:30:00,2899.01,1.61203,923,1559.84,1306,67.88,371,23.68,108.139,2703.47,6190.75,277748000
C1,DMT 0.3,Trial     4,H9,0:00:00-0:30:00,2625.42,1.46045,783,1680.36,963,45.4,206,11.28,111.739,2793.47,5310.13,237767000
C1,DMT 1,Trial     4,A4,0:00:00-0:30:00,3063.57,1.70358,1193,1681.28,1464,74.64,380,23.44,107.133,2678.33,6002.04,269210000
C1,DMT 1,Trial     4,A10,0:00:00-0:30:00,2060.48,1.16524,707,1719.08,915,45.4,117,9.4,110.925,2773.12,6766.14,297839000
C1,DMT 1,Trial     4,B4,0:00:00-0:30:00,3457.04,1.99847,1795,1596.48,2271,126.76,449,24.4,101.265,2531.61,5334.84,228587000
C1,DMT 1,Trial     4,B10,0:00:00-0:30:00,1730.38,1.15605,488,1121.16,576,27.04,151,7.68,112.132,2803.3,6513.45,242978000
C1,DMT 1,Trial     4,C4,0:00:00-0:30:00,927.621,0.802968,85,1723.8,115,5.04,9,0.68,117.965,2949.12,7048.36,199046000
